filer_name,filer_url,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,current_cash_balance,current_loan_balance,current_debt_balance,latest_filing_name,latest_filing_date,filing_period_end,scrape_date
Katrina Couch Ray-Saulis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs,980.0,980.0,0.0,3465.62,7464.38,0.0,,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Katrina J Smith,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9s9hv47g,8733.43,8733.43,0.0,482.42,8251.01,0.0,0.0,42-Day Post-Primary Report,07/18/2026,07/14/2026,2026-08-04
Kayla Miller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ymgd2ey6s6xabkr20822j,900.0,900.0,0.0,3106.87,7743.13,0.0,0.0,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
Keith Newman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knhetv5hetgtknce4rt0pd97,250.0,250.0,0.0,0.0,250.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Kelly Dearborn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj87wf1ze3rbf1825hh632rk,11200.0,11200.0,0.0,2024.0,9176.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Kelly Maureen Noonan Murphy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8090c1chtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/14/2026,07/14/2026,2026-08-04
Kenneth A. Capron,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758pheb4mhk,3316.87,3316.87,0.0,3316.87,0.0,0.0,0.0,11-Day Pre-Primary Report,05/05/2026,05/22/2026,2026-08-04
Kenneth Blow,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjr2sc50faqs7p75db4pksfp,5000.0,5000.0,0.0,2790.92,2209.08,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Kenneth Cianchette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7qy310fp4tevqe1nefmhjt,40100.0,29100.0,0.0,18568.43,21531.57,11000.0,0.0,42-Day Post-Primary Report,07/28/2026,07/14/2026,2026-08-04
Kenneth Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx7f17bj4,3000.0,3000.0,0.0,16233.09,0.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/13/2026,07/14/2026,2026-08-04
Kenneth Forrest Pinet,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdk2hc0ghm,775.0,775.0,0.0,775.0,0.0,0.0,0.0,2026 January Semiannual Report,12/18/2025,,2026-08-04
Kenneth Wade Fredette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa4e9pmqh,2600.66,2600.0,0.0,1085.6,1515.06,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Kerryl Lee Clement,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztxa2qsgj,1000.0,1000.0,0.0,3323.8,18175.83,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Kevin O'Connell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjsz03trfkqbtb08r512xc5r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Kiernan I. Majerus-Collins (Special),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztfcjhs70,14800.0,500.0,300.0,14015.64,484.36,12000.0,0.0,2026 July Semiannual Report,07/16/2026,,2026-08-04
Kiernan Innes Majerus-Collins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhfe0t2pt,56622.02,9622.02,0.0,56484.64,137.38,37000.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Kilton McCarthy Webb,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxm30va2j,1000.0,1000.0,0.0,1121.15,10433.5,0.0,0.0,42-Day Post-Primary MCEA Report,07/18/2026,07/14/2026,2026-08-04
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,2680.0,2680.0,0.0,9303.43,22514.11,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Kimberly M. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802wn940m2,1000.0,1000.0,0.0,1400.0,10200.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Kirstan Watson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj5qyg2fbysgzatktjdzzrz,1000.0,1000.0,0.0,1335.74,8609.41,0.0,0.0,42-Day Post-Primary MCEA Report,08/02/2026,07/14/2026,2026-08-04
Kristi Mathieson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nk4vkfw7rjt1kn8fa3bpb,0.0,0.0,0.0,0.0,8950.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Kristine A. Poland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyac045ck,1000.0,1000.0,0.0,1190.65,20301.3,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Kristin Tyra Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8018qdk700,1000.0,1000.0,0.0,2307.02,15892.98,0.0,0.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
Lance Harvell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdg7gtz5vz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Laura Supica,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmrf17wsek9rtc2b6yz3pxwc,1299.03,1299.03,0.0,0.0,1299.03,0.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
Laurel Libby,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh7enr653,142847.25,142685.22,162.03,73172.67,69512.55,0.0,0.0,2026 July Semiannual Report,07/14/2026,,2026-08-04
Lauren Jones,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01krc2bntyfhcr74j27t38mamh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Lauren Marie Grenier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80697f9je0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Laurie Osher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h,1000.0,1000.0,0.0,1773.31,6526.69,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
"Lawrence E. Bessey, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxx9kwyxt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Lawrence McWilliams,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kt784484e2yr55hr9rws907k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Leo Christopher Kenney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g,2980.0,2980.0,0.0,8436.09,50180.18,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Lisa Kalp,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ngp4tfg09bt31pa7ectrs,20.18,20.18,0.0,0.0,20.18,0.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
Lisa Nelthropp,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjr28q1kfbbv2eyr33jz1nns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Lisa Pratt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3p5h7xfsgt6n1gn650cspf,947.02,947.0,0.0,3756.99,514.89,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Lori Kenneson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ky0d06saeyevqdn47948hjvy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Louis Samuel Pfeifle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zw65qdny7,1000.0,900.0,100.0,1514.28,9979.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Lucy Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kw9mfgvyevb8f4gmt6wa5cqq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Luke Dylan Jensen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65r08ae83tjkrbf4dkrev9,1000.0,1000.0,0.0,1000.0,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Lynn Copeland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mfdvyf58sxne2fwfn4wa2,977.51,977.51,0.0,1008.0,7269.51,0.0,0.0,42-Day Post-Primary MCEA Report,07/15/2026,07/14/2026,2026-08-04
Madison Cook,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803xgpvaxq,1000.0,1000.0,0.0,4107.36,17392.13,0.0,0.0,42-Day Post-Primary MCEA Report,07/29/2026,07/14/2026,2026-08-04
Mallory Aaren Cook,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca3d1pazm,1000.0,1000.0,0.0,3150.25,10099.69,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Mana Hared Abdi,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8081x2yahg,3000.99,3000.99,0.0,14888.66,0.99,0.0,0.0,42-Day Post-Primary MCEA Report,08/04/2026,07/14/2026,2026-08-04
Marc Anthony Boisse,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758p8szjznm,7084.73,4867.72,0.0,5187.33,1897.4,2217.0,0.0,42-Day Post-Primary Report,08/03/2026,07/14/2026,2026-08-04
Marc  Edwards,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkyffse0e8fvh0j2vb3ctmmf,1480.0,1480.0,0.0,105.5,1374.5,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
"Marc G. Malon, II",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhgb4hbsj,11166.16,11141.16,25.0,2351.16,8790.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Marc Lessard,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kxdy7w39f6tb6zr045yyn9m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Marcus Mrowka,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztkd1wtbg,970.0,970.0,0.0,4186.52,0.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/27/2026,07/14/2026,2026-08-04
Margaret Wheeler,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knhfre61fmxsj9wdkys623sb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Maria Michela Aguilo,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758nk1zc7n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Marissa Tasker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kyq9y3yxf24v3h9y977yerc8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Mark C. Cooper,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8vxx3aea,690.0,690.0,0.0,926.0,7064.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Mark Frederick Zimmer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99,920.0,920.0,0.0,3053.76,18366.24,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Mark M Babin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbc3xg3rr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Mark Vigliotta,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q8034emg9fjvk15q82v6n,2795.0,2795.0,0.0,6973.47,31595.69,0.0,1000.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Mark Walker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp8tc3b9e5nt1hy5wke20q0c,1000.0,1000.0,0.0,998.41,8950.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Marshall Archer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800c5ew0rb,5411.24,5411.24,0.0,3344.4,2066.84,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Marygrace Cimino,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzt5ea1ezwbdz37q1xy9g2t,2254.58,2254.58,0.0,434.65,1819.93,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Mary Shannon Lindstrom,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvnk58we98swfgc2j11awmw,1000.0,1000.0,0.0,2946.08,5352.21,0.0,0.0,42-Day Post-Primary MCEA Report,07/24/2026,07/14/2026,2026-08-04
Mathew David McIntyre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbnkd1hb6,3000.0,3000.0,0.0,2997.8,2.2,0.0,0.0,42-Day Post-Primary Report,06/30/2026,07/14/2026,2026-08-04
Matthea Elisabeth Larsen Daughtry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcqxfx67y,2723.1,2723.1,0.0,912.9,1810.2,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Matthew A. Harrington,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805y20tryt,22430.52,21995.28,435.24,1218.6,20776.68,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Matthew Channing Townsend,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q91h3rsxa,1000.08,1000.0,0.0,1303.18,6996.9,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Matthew D. Beck,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805vf10pr2,3868.42,3868.42,0.0,832.57,3035.85,0.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
Matthew Kershaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn4qhkcfejvscbvc5ecegev8,1718.82,1718.82,0.0,1718.81,0.01,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Matthew Moonen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808fjwwyvg,2895.0,2895.0,0.0,30.0,2865.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Matthew Rush,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtv7x8tfhr9nytnwdmk0r8t,1000.0,1000.0,0.0,1738.33,19761.67,0.0,0.0,42-Day Post-Primary MCEA Report,08/04/2026,07/14/2026,2026-08-04
Maura H Pillsbury,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8058t8vv2j,1000.0,1000.0,0.0,1422.32,6875.12,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Maureen AuCoin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvfbpdmfhkrtc2cnbvvhh7f,1000.0,1000.0,0.0,4481.58,6464.82,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Meagan Smith,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3s9e27fjpram52qveyqvkg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/06/2026,07/14/2026,2026-08-04
Melanie Tompkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg37dfgfaet6redc3mab962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/16/2026,07/14/2026,2026-08-04
Melissa Byer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkm9d1tweesv5ym73va5cmta,1673.46,1240.4,433.06,326.26,914.14,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Melissa Simpson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kyqm50hnfep8p0hvdx0nfr8j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Michael Brayson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhznfm2f7db6fcen2k3c0ak,168.54,68.54,0.0,41.74,126.8,100.0,0.0,42-Day Post-Primary Report,07/19/2026,07/14/2026,2026-08-04
Michael Dixon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54b61tevxsk81mxvn7kn5r,1000.0,1000.0,0.0,1910.82,11339.18,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Michael Dougherty,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmnqyzc4ebras5yrcehxzh9f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Michael D. Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807cwn1fsq,0.0,0.0,0.0,600.0,2075.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Michael Hobart Cunningham II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f,650.0,650.0,0.0,650.0,8950.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Michael J. Lance,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qd29nz0j1,1250.0,1250.0,0.0,10.0,1240.0,0.0,0.0,42-Day Post-Primary Report,07/11/2026,07/14/2026,2026-08-04
Michael J. Nicholson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9gjms69h,3850.0,3850.0,0.0,3545.48,304.52,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Michael Lemelin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zv2tp5t6f,3228.75,3228.75,0.0,635.0,2593.75,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Michael R. Scott,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80106sfc9v,3000.0,3000.0,0.0,4880.03,60394.97,0.0,1000.0,42-Day Post-Primary Report,08/03/2026,07/14/2026,2026-08-04
Michael Sweeny Flanagan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca582k5bm,1000.0,1000.0,0.0,3298.39,,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Michael Tipping,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp,3000.0,3000.0,0.0,4700.27,27449.73,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Michele Meyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1,3000.0,3000.0,0.0,16774.37,72346.26,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Michelle Conners,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkfgm7m1e89bcny8jm7afmr8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/16/2026,07/14/2026,2026-08-04
Michelle N Boyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808axh1r8x,0.0,0.0,0.0,0.0,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/10/2026,07/14/2026,2026-08-04
Michelle Tucker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjb5shgnfnvb532es240zj7j,4805.0,4805.0,0.0,2176.95,2628.05,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Mike Soboleski,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvep3cxfs3b3k1ksrrxeemq,4975.0,4475.0,0.0,899.35,4075.65,500.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
Morgan Rielly,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7sxtt7fw0tvt9328wemsy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/06/2026,07/14/2026,2026-08-04
M. Todd Chretien,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvf5ykhnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026 January Semiannual Report,01/14/2026,,2026-08-04
Nancy Jean Theriault,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca9m9pbxn,1000.0,1000.0,0.0,4883.99,7689.26,0.0,0.0,42-Day Post-Primary MCEA Report,08/04/2026,07/14/2026,2026-08-04
Nancy McDowell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2,975.0,975.0,0.0,3372.05,6549.78,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Nancy McDowell-Special,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks,1000.0,1000.0,0.0,9263.75,0.0,0.0,0.0,42-Day Post Election MCEA Report (2026 HD 29 Special Election),07/23/2026,,2026-08-04
Nancy Theriault - Special,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg9gszqekhv6w7gbcf3vr88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post Election Report (2026 HD 29 Special Election),07/21/2026,,2026-08-04
Nathan Burnett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9,3000.0,3000.0,0.0,4952.42,47072.45,0.0,0.0,42-Day Post-Primary MCEA Report,08/02/2026,07/14/2026,2026-08-04
Nathan M. Carlow,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkc6wegzea4vqcpmfpg0bw0q,11258.71,11258.71,0.0,600.15,10658.56,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Nicholas Alexander,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758nn4zq941,147.7,147.7,0.0,147.71,,0.0,0.0,2026 January Semiannual Report,07/22/2025,,2026-08-04
Nicolas John Hamlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr42jeg96,1000.0,1000.0,0.0,4292.79,5.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Nicole Bambrick,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khc93ecze09s9ats4hwqnnnc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Nicole C Grohoski,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445,1825.0,1825.0,0.0,2913.22,54560.22,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Nicole Lynn Kalloch,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qac013eqh,4500.0,4500.0,0.0,0.0,4500.0,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Nicole Richards,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn22cp3te7ytcgn4z598z4zy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/23/2026,07/14/2026,2026-08-04
Nina A Milliken,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8,1000.0,1000.0,0.0,963.8,7300.61,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Nirav Shah,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb6h6va1w,1476415.96,1308519.01,69556.95,1438247.83,,98340.0,6747.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Noah Cobb,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kt1x8q6vfk69266rgkk282a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
Oliver McAvoy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfrekfsfzkvqvt22bfas31z,1000.0,1000.0,0.0,955.48,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
OWEN MCCARTHY,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhqxyxxe2,539837.01,389229.0,10308.01,478447.36,51081.64,140300.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Pamela Hart,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9djw5feztamnr27bf24vqe,1000.0,1000.0,0.0,1000.0,20500.0,0.0,820.35,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Pamela Jo Swift,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807sffsaz7,819.0,819.0,0.0,7341.75,777.25,0.0,0.0,42-Day Post-Primary MCEA Report,07/23/2026,07/14/2026,2026-08-04
Parnell Terry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806fxq18bw,961.0,961.0,0.0,961.0,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
PATRICK JUDE,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zscfjaahz,1000.0,1000.0,0.0,1242.18,6982.82,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
