candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
John Robert Henkelman III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh/filings/d_01kfpfwzmretrv0gajcn6cnnpk,,Campaign Finance,"December 01, 2025 - December 31, 2025",$700.00,$700.00,$0.00,$0.00,,,$0.00,$700.00,$0.00,$0.00
Suzanne R. Andresen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvq8nst9d,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvq8nst9d/filings/d_01ksj75kzef08t6wt53g8jj5x1,,Mcea Campaign Finance,"March 11, 2026 - May 26, 2026",,,,"$1,569.31","$3,318.00",$0.00,$7.00,"$1,755.69",$634.00,
Suzanne R. Andresen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvq8nst9d,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvq8nst9d/filings/d_01ksp18n65fzcrpvxmtbgfwrf3,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$2,912.31",,,$0.00,,$284.00,$0.00
Sean Mahoney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsxk0cdq4,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsxk0cdq4/filings/d_01kstnt7spe5c9mjk4b9jc9x94,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Sean Mahoney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsxk0cdq4,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsxk0cdq4/filings/d_01kpe28d6dekkbh8wn980c7p8p,,Mcea Seed Money,"January 01, 2026 - April 17, 2026",$0.00,$0.00,$0.00,"$1,000.00",,,"$1,000.00",$0.00,$0.00,$0.00
Sean Mahoney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsxk0cdq4,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsxk0cdq4/filings/d_01kf4f3w4qe2jtscj4zmdk5wep,,Campaign Finance,"December 01, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$0.00,,,$0.00,"$1,000.00",$0.00,$0.00
Robert Kelly,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53mqm7f5rv5eyxxqv33444,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53mqm7f5rv5eyxxqv33444/filings/d_01ksqq7mthe8jaf6m0e11wdr32,,Mcea Campaign Finance,"April 30, 2026 - May 26, 2026",,,,$100.00,$674.40,$0.00,$0.60,$575.00,$0.00,
Robert Kelly,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53mqm7f5rv5eyxxqv33444,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53mqm7f5rv5eyxxqv33444/filings/d_01kqdv2kahefysm5dx2wx5gps1,,Mcea Seed Money,"Unbounded - April 29, 2026","$1,000.00","$1,000.00",$0.00,$999.40,,,$0.00,$0.60,$0.00,$0.00
Nancy Jean Theriault,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca9m9pbxn,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca9m9pbxn/filings/d_01ksr478d6e48szcsbbhr59q58,,Mcea Campaign Finance,"March 26, 2026 - May 26, 2026",,,,"$3,232.32","$3,298.25",$0.00,$26.75,$92.68,$0.00,
Nancy Jean Theriault,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca9m9pbxn,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca9m9pbxn/filings/d_01ksp18srafkwabr087yt78nyv,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$2,062.12",,,$0.00,,$0.00,$475.00
Trevor Alex Doiron,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm/filings/d_01ksq9bcd3fnjacb07nxqfvzgz,,Mcea Campaign Finance,"February 13, 2026 - May 26, 2026",,,,$647.42,$674.71,$0.00,$0.29,$27.58,$0.00,
Trevor Alex Doiron,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm/filings/d_01ksn1s975fakry34bt4qeagx5,,Mcea Campaign Finance,"February 13, 2026 - May 26, 2026",,,,$647.42,$674.71,$0.00,$740.64,$767.93,$0.00,
Trevor Alex Doiron,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm/filings/d_01ksp1g1ttex7vnhtc627y51t7,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$1,647.13",,,$0.00,,$0.00,$0.00
Trevor Alex Doiron,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqryby5fm/filings/d_01kf4f3w4re01aq3f60j8cga00,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$259.36,,,$0.00,$740.64,$0.00,$0.00
Kristin Tyra Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8018qdk700,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8018qdk700/filings/d_01ksszxh36e45r1e9sbf3xffny,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$361.65,$675.00,$0.00,$0.00,$313.35,$0.00,
Kristin Tyra Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8018qdk700,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8018qdk700/filings/d_01kpc8cb3aewq8qzcp7aawam37,,Mcea Seed Money,"Unbounded - April 16, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Holly Taylor Sargent,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy0j60956,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy0j60956/filings/d_01kst6bnm2ff4bfg08528ybjbc,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$0.00,$665.37,$0.00,$9.63,$675.00,$0.00,
Holly Taylor Sargent,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy0j60956,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy0j60956/filings/d_01kp6n0nr9ep3a9keaqwrb9cw6,,Mcea Seed Money,"Unbounded - April 16, 2026",$900.00,$900.00,$0.00,$890.37,,,$0.00,$9.63,$0.00,$0.00
Valli D. Geiger,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8071c1k83d,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8071c1k83d/filings/d_01ksq9f43dftct173bd3rtcwcs,,Mcea Campaign Finance,"April 19, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Valli D. Geiger,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8071c1k83d,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8071c1k83d/filings/d_01kpgb049zfd3t62r6myh8phs9,,Mcea Seed Money,"Unbounded - April 18, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Wayne K. Farrin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyzn2skex,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyzn2skex/filings/d_01kstmz225en3b3bt7ww8ynwg4,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$103.39,$675.00,$0.00,$0.00,$571.61,$0.00,
Wayne K. Farrin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyzn2skex,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyzn2skex/filings/d_01kprv0fk1eaes9nqy62mngbrj,,Mcea Seed Money,"Unbounded - April 21, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Kimberly M. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802wn940m2,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802wn940m2/filings/d_01kssywd6cfzx8j8kdcbxzwxga,,Mcea Campaign Finance,"April 28, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Kimberly M. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802wn940m2,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802wn940m2/filings/d_01kq5rn1beerp9ta1anr14kvja,,Mcea Seed Money,"Unbounded - April 26, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Karen Montell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pcetre5crw1e4hexef17e,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pcetre5crw1e4hexef17e/filings/d_01ksr5xwqhevradh8wnf2r8w6m,,Mcea Campaign Finance,"May 07, 2026 - May 26, 2026",,,,$0.00,$665.00,$0.00,$10.00,$675.00,$0.00,
Karen Montell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pcetre5crw1e4hexef17e,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pcetre5crw1e4hexef17e/filings/d_01kqzy1k6tf498gydpb6t865mp,,Mcea Seed Money,"Unbounded - May 06, 2026","$1,000.00","$1,000.00",$0.00,$990.00,,,$0.00,$10.00,$0.00,$0.00
Elizabeth Caruso,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0camvr8f9j,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0camvr8f9j/filings/d_01ksqddg3sf6cte68gw1663cna,,Mcea Campaign Finance,"April 07, 2026 - May 26, 2026",,,,$665.55,"$2,564.00",$0.00,$86.00,"$1,984.45",$0.00,
Elizabeth Caruso,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0camvr8f9j,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0camvr8f9j/filings/d_01kn5dqtyferz8bya07sk66nk9,,Mcea Seed Money,"Unbounded - April 06, 2026",$905.00,$905.00,$0.00,$819.00,,,$0.00,$86.00,$0.00,$105.00
Eryn Soule,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyhyj3vexbs3x17f5mcpq2v,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyhyj3vexbs3x17f5mcpq2v/filings/d_01ks0nmyxfe82rh1hjxh18m9nj,,Mcea Campaign Finance,"May 12, 2026 - May 26, 2026",,,,$0.00,"$2,629.02",$0.00,$20.98,"$2,650.00",$0.00,
Eryn Soule,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyhyj3vexbs3x17f5mcpq2v,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyhyj3vexbs3x17f5mcpq2v/filings/d_01krcraag4fh1arjw2y6vk4pzx,,Mcea Seed Money,"Unbounded - May 11, 2026","$2,400.00","$2,400.00",$0.00,"$2,379.02",,,$0.00,$20.98,$0.00,$0.00
David G. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80332jnkf9,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80332jnkf9/filings/d_01kssyp1s4f2hrx3jwnsrhy4qn,,Mcea Campaign Finance,"April 27, 2026 - May 26, 2026",,,,$0.00,"$2,650.00",$0.00,$0.00,"$2,650.00",$0.00,
David G. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80332jnkf9,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80332jnkf9/filings/d_01kq5q0ar7fsmba2z6cq8gdsag,,Mcea Seed Money,"Unbounded - April 26, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$0.00
John Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75/filings/d_01ksjt4hz1f3krdp6wjtf68zps,,Mcea Campaign Finance,"February 13, 2026 - May 26, 2026",,,,$705.78,$675.00,$0.00,$750.00,$719.22,$0.00,
John Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75/filings/d_01ksp1g4nbebbtms18hka4msjv,,Mcea Seed Money,"January 01, 2026 - June 08, 2026",$0.00,$0.00,$0.00,"$1,455.78",,,"$1,000.00",,$0.00,$0.00
John Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75/filings/d_01kf4f3w4qe2jtscj5rsd383y2,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$250.00,,,$0.00,$750.00,$0.00,$0.00
Seven Siegel,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8373fketn8bethv06tkj8t,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8373fketn8bethv06tkj8t/filings/d_01ksnvg41rf4mr4kscn4zcd7zm,,Mcea Seed Money,"January 01, 2026 - May 28, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$120.00
Deane Rykerson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0/filings/d_01kt7jdqe3ee8rfny9rv50k818,,Mcea Campaign Finance,"April 07, 2026 - May 26, 2026",,,,"$11,203.41","$13,217.98",$0.00,$32.02,"$2,046.59",$0.00,
Deane Rykerson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0/filings/d_01ksqscpbgfjg94c3wzjbtvecs,,Mcea Campaign Finance,"April 07, 2026 - May 26, 2026",,,,"$11,379.45","$13,217.98",$0.00,$32.02,"$1,870.55",$0.00,
Deane Rykerson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0/filings/d_01knhs9tqme9f8txhak6mxy2ch,,Mcea Seed Money,"January 01, 2026 - April 06, 2026",$825.00,$825.00,$0.00,"$1,121.28",,,$328.30,$32.02,$0.00,$50.00
Deane Rykerson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0/filings/d_01kf4f3w4re01aq3f5kw0kscp4,,Campaign Finance,"October 01, 2025 - December 31, 2025","$2,060.00","$2,060.00",$0.00,"$1,731.70",,,$0.00,$328.30,$0.00,$35.00
Tammy Schmersal-Burgess,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8028a729bm,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8028a729bm/filings/d_01ksaybmecfxerte49s9ajytsr,,Mcea Campaign Finance,"February 25, 2026 - May 26, 2026",,,,$56.95,$675.00,$0.00,$0.00,$618.05,$0.00,
William R Tuell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx37px971,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx37px971/filings/d_01ksqaxvmseajsbz0nm15zfs3d,,Mcea Campaign Finance,"March 04, 2026 - May 26, 2026",,,,"$3,294.00","$3,225.00",$0.00,$100.00,$31.00,$0.00,
William R Tuell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx37px971,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx37px971/filings/d_01ksp18tmmeqmbh9tj8751h1aj,,Mcea Seed Money,"Unbounded - June 08, 2026",$400.00,$400.00,$0.00,"$3,594.00",,,$0.00,,$0.00,$0.00
Marc  Edwards,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkyffse0e8fvh0j2vb3ctmmf,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkyffse0e8fvh0j2vb3ctmmf/filings/d_01kstqm1ppfsxay9v3mea7vka2,,Mcea Campaign Finance,"January 01, 2026 - May 26, 2026",,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Matthew Channing Townsend,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q91h3rsxa,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q91h3rsxa/filings/d_01kstzbnzyfv7s7a8ww1n27j2w,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,$134.68,$675.00,$0.00,$0.00,$540.32,$0.00,
Matthew Channing Townsend,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q91h3rsxa,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q91h3rsxa/filings/d_01kpgehm1mfkes1a4h6yvpxd7j,,Mcea Seed Money,"Unbounded - April 20, 2026","$1,000.03","$1,000.00",$0.00,"$1,000.03",,,$0.00,$0.00,$0.00,$0.00
Jonathan Reed Fallon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm/filings/d_01ksn6bycrf3abprm0d6yccm9y,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,"$2,091.15","$2,626.69",$0.00,$23.31,$558.85,$0.00,
Jonathan Reed Fallon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm/filings/d_01kpr6w7ykeghs07sj87rtx5f1,,Mcea Seed Money,"January 01, 2026 - April 23, 2026",,,$0.00,"$2,932.69",,,"$3,000.00",$23.31,$0.00,$0.00
Jonathan Reed Fallon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm/filings/d_01kf4f3w4qe2jtscj5y9t6d39s,,Campaign Finance,"November 01, 2025 - December 31, 2025","$3,044.00","$3,044.00",$0.00,$44.00,,,$0.00,"$3,000.00",$0.00,$0.00
Kati L. McCormick,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc/filings/d_01ksqvdy41e2q8jbdpafkchtjs,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,"$1,978.22","$2,509.35",$0.00,$140.65,$671.78,$0.00,
Kati L. McCormick,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc/filings/d_01kpq54wxeem2bt3gvx1qamp25,,Mcea Seed Money,"January 01, 2026 - April 21, 2026",$440.00,$440.00,$0.00,"$1,349.35",,,"$1,050.00",$140.65,$0.00,$40.00
Kati L. McCormick,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc/filings/d_01kf4f3w4qe2jtscj5r17n8f1b,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,050.00","$1,050.00",$0.00,$0.00,,,$0.00,"$1,050.00",$0.00,$150.00
Amanda Heath,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y/filings/d_01kswx6mx0f2xbhdvqe11spq05,,Mcea Campaign Finance,"April 27, 2026 - May 26, 2026",,,,$600.93,"$2,646.05",$0.00,$3.95,"$2,049.07",$0.00,
Amanda Heath,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y/filings/d_01ksmd5n66fq7s0sst9h4evm16,,Mcea Campaign Finance,"April 27, 2026 - May 26, 2026",,,,"$3,100.93","$2,646.05",$0.00,$3.95,,$0.00,
Amanda Heath,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y/filings/d_01kq5bcbaffxnbpe8j3g2z99at,,Mcea Seed Money,"Unbounded - April 21, 2026","$3,000.00","$3,000.00",$0.00,"$2,996.05",,,$0.00,$3.95,$600.93,$0.00
Scott Craig,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjaz7wy5fd6ajftcv6qe8mbx,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjaz7wy5fd6ajftcv6qe8mbx/filings/d_01kskcq49yfhkt0thfabbnnfs0,,Mcea Campaign Finance,"May 13, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Scott Craig,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjaz7wy5fd6ajftcv6qe8mbx,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjaz7wy5fd6ajftcv6qe8mbx/filings/d_01kre9vwa0ft0swhtrphm6mpqb,,Mcea Seed Money,"Unbounded - May 12, 2026",$700.00,$700.00,$0.00,$700.00,,,$0.00,$0.00,$0.00,$0.00
Jo-Jean Keller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7kqdeser185x833nkteg5z,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7kqdeser185x833nkteg5z/filings/d_01ksr5y1vtetwaeaj2cjv50fk1,,Mcea Campaign Finance,"May 15, 2026 - May 26, 2026",,,,$0.00,"$2,649.94",$0.00,$0.06,"$2,650.00",$0.00,
Jo-Jean Keller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7kqdeser185x833nkteg5z,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7kqdeser185x833nkteg5z/filings/d_01kqt85ecvfsgt5fc4rmy6a1fe,,Mcea Seed Money,"Unbounded - May 14, 2026","$1,316.00","$1,316.00",$0.00,"$1,315.94",,,$0.00,$0.06,$0.00,$66.00
Leo Christopher Kenney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g/filings/d_01ksrmcc5revmt0v9cxbef41xd,,Mcea Campaign Finance,"April 01, 2026 - May 26, 2026",,,,"$1,233.32","$2,636.27",$0.00,$13.73,"$1,416.68",$0.00,
Leo Christopher Kenney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g/filings/d_01kn2fz98qf17tcze95dw9gvz2,,Mcea Seed Money,"January 01, 2026 - March 31, 2026",$0.00,$0.00,$0.00,"$2,966.27",,,"$2,980.00",$13.73,$0.00,$0.00
